Name,Course_title,Course_name,Session,Class_Number,Career,Units,Grading,Description,Enrollment_Requirements,Add_Consent,Instructor,Meets,Dates,Room,Instruction_Mode,Campus,Location,Components,Status
Section: C-LEC (17166)  Session: Regular Academic Session Days/Times: TuTh 2:00pm - 4:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Mariya Feklistova Status: Open,MA-UY 1424 - C,Integrated Calculus II for Engineers,Regular Academic Session,17166,Undergraduate,4 units,Ugrd Tandon Graded,"This course MA-UY 1424 is for students who wish to take MA-UY 1124 but need more review of precalculus. MA-UY 1424 covers the same material as MA-UY 1124 but with more contact hours a week, incorporating a full discussion of the required precalculus topics. | Prerequisites: MA-UY 1022 or MA-UY 1024 or MA-UY 1324.  Note: credit for this course may be used to satisfy the minimum credit requirement for graduation. Corequisite: EX-UY 1",None,MA-UY 1424 Prerequisites: MA-UY 1022 or MA-UY 1024 or MA-UY 1324.  Note: credit for this course may be used to satisfy the minimum credit requirement for graduation. Corequisite: EX-UY 1,Mariya Feklistova,TuTh 2:00PM - 4:50PM,"Rogers Hall, Rm 202 Loc: Brooklyn Campus",01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: ARC-RCT (17219)  Session: Regular Academic Session Days/Times: Fr 3:30pm - 4:45pm Dates: 01/27/2020 - 05/11/2020 Instructor: Jumageldi Charyyev Status: Closed This is a combined section class,MA-UY 4314 - ARC,Combinatorics,Regular Academic Session,17219,Undergraduate,0 units,Ugrd Tandon Graded,"Techniques for counting and enumeration including generating functions, the principle of inclusion and exclusion, and Polya counting. Graph theory. Modern algorithms and data structures for graph-theoretic problems. | Prerequisite: C or better in MA-UY 1124, MA-UY 1424 or MA-UY 1132",None,"MA-UY 4314 Prerequisite: C or better in MA-UY 1124, MA-UY 1424 or MA-UY 1132",Jumageldi Charyyev,Fr 3:30PM - 4:45PM,Bldg:CIWW  Room:317 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,Washington Square,"Lecture Required, Recitation Required",Open
Section: A-LEC (17376)  Session: Regular Academic Session Days/Times: TuTh 3:30pm - 4:45pm Dates: 01/27/2020 - 05/11/2020 Instructor: Michel Pain Status: Closed This is a combined section class,MA-UY 3014 - A,APPLIED PROBABILITY,Regular Academic Session,17376,Undergraduate,4 units,Ugrd Tandon Graded,"An introduction to the mathematical treatment of random phenomena

occurring in the natural, physical, and social sciences. Axioms of mathematical probability, combinatorial analysis, binomial distribution, Poisson and normal approximation, random variables and probability distributions, generating functions, the Central Limit Theorem and Laws of Large Numbers, Markov Chains, and basic stochastic processes. Note: Not open to students who have taken MA-UY 2224, MA-UY 2233, ECE-UY 2233 or MA-UY 3022 | Prerequisite: A grade of C or better in MA-UY 2114 and (MA-UY 2034 or MA-UY 3034 or MA-UY 3044 or MA-UY 3054).",None,"MA-UY 3014 Prerequisite: A grade of C or better in MA-UY 2114 and (MA-UY 2034 or MA-UY 3034 or MA-UY 3044 or MA-UY 3054).  Anti-Requisites: MA-UY 2224, MA-UY 2233, MA-UY 3022, MA-UY 2414 or MA-UY 2054",Michel Pain,TuTh 3:30PM - 4:45PM,Bldg:CIWW  Room:312 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,Washington Square,"Lecture Required, Recitation Required",Open
Section: BRC-RCT (17209)  Session: Regular Academic Session Days/Times: Fr 12:30pm - 1:45pm Dates: 01/27/2020 - 05/11/2020 Instructor: Francesco Preta Status: Closed This is a combined section class,MA-UY 4044 - BRC,Algebra,Regular Academic Session,17209,Undergraduate,0 units,Ugrd Tandon Graded,"Introduction to abstract algebraic structures, including groups, rings, and fields. Sets and relations. Congruences and unique factorization of integers. Groups, permutation groups, homomorphisms and quotient groups. Rings and quotient rings, Euclidean rings, polynomial rings. Fields, finite extensions. | Prerequisites:  C or better in MA-UY 4614 and (MA-UY 3113, MA-UY 3044 or MA-UY 3054) ; or instructor permission.  Note: Cannot receive credit for both MA-UY 4044 and MA-UY 4054.",None,"MA-UY 4044 Prerequisites:  C or better in MA-UY 4614 and (MA-UY 3113, MA-UY 3044 or MA-UY 3054); or instructor permission",Francesco Preta,Fr 12:30PM - 1:45PM,Bldg:CIWW  Room:517 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,Washington Square,"Lecture Required, Recitation Required",Open
Section: B-LEC (17204)  Session: Regular Academic Session Days/Times: TuTh 4:00pm - 5:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Elizabeth Stepp Status: Open,MA-UY 2054 - B,Applied Business Data Analysis I,Regular Academic Session,17204,Undergraduate,4 units,Ugrd Tandon Graded,"This course covers applications of theories of random phenomena to problems in business management. Topics include probability theory, discrete and continuous probability distributions, sampling, measures of central value and dispersion, sampling distributions, statistical estimation and introduction to hypothesis testing. Use of statistical software is integrated with the previous topics; examples are drawn from problems in business decision-making. Applications to advanced statistical applications in business management. Emphasis is on application of concepts. Use of statistical software integrated with the previous topics.  | Prerequisite: MA-UY 1054 or equivalent. Note: Course required only for Management Majors. Credit for this course may not be used to satisfy the requirements for other majors.",None,"Prerequisite: MA 1054 or equivalent. Anti-Requisites: MA-UY 2224, MA-UY 2233, MA-UY 3022, MA-UY 2414 or MA-UY 3014.  Note: Course required only for Management Majors. Credit for this course may not be used to satisfy the requirements for other majors.",Elizabeth Stepp,TuTh 4:00PM - 5:50PM,"Rogers Hall, Rm 331 Loc: Brooklyn Campus",01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: BRC-RCT (17379)  Session: Regular Academic Session Days/Times: Fr 2:00pm - 3:15pm Dates: 01/27/2020 - 05/11/2020 Instructor: Brett Bernstein Status: Closed This is a combined section class,MA-UY 3014 - BRC,APPLIED PROBABILITY,Regular Academic Session,17379,Undergraduate,0 units,Ugrd Tandon Graded,"An introduction to the mathematical treatment of random phenomena

occurring in the natural, physical, and social sciences. Axioms of mathematical probability, combinatorial analysis, binomial distribution, Poisson and normal approximation, random variables and probability distributions, generating functions, the Central Limit Theorem and Laws of Large Numbers, Markov Chains, and basic stochastic processes. Note: Not open to students who have taken MA-UY 2224, MA-UY 2233, ECE-UY 2233 or MA-UY 3022 | Prerequisite: A grade of C or better in MA-UY 2114 and (MA-UY 2034 or MA-UY 3034 or MA-UY 3044 or MA-UY 3054).",None,"MA-UY 3014 Prerequisite: A grade of C or better in MA-UY 2114 and (MA-UY 2034 or MA-UY 3034 or MA-UY 3044 or MA-UY 3054).  Anti-Requisites: MA-UY 2224, MA-UY 2233, MA-UY 3022, MA-UY 2414 or MA-UY 2054",Brett Bernstein,Fr 2:00PM - 3:15PM,Bldg:CIWW  Room:101 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,Washington Square,"Lecture Required, Recitation Required",Open
Section: ARC-RCT (23767)  Session: Regular Academic Session Days/Times: Fr 9:30am - 10:45am Dates: 01/27/2020 - 05/11/2020 Instructor: Gavin Scot Stewart Status: Open This is a combined section class,MA-UY 4644 - ARC,HONORS ANALYSIS I,Regular Academic Session,23767,Undergraduate,0 units,Ugrd Tandon Graded,"This is an introduction to the rigorous treatment of the foundations of real analysis in one variable. It is based entirely on proofs. Students are expected to know what a mathematical proof is and are also expected to be able to read a proof before taking this class. Topics include: properties of the real number system, sequences, continuous functions, topology of the real line, compactness, derivatives, the Riemann integral, sequences of functions, uniform convergence, infinite series and Fourier series. Additional topics may include: Lebesgue measure and integral on the real line, metric spaces, and analysis on metric spaces. | Prerequisites: A grade of B or better in MA-UY 2114 and (MA-UY 3044 or MA-UY 3054 or MA-UY 3034 or MA-UY 3113).",None,MA-UY 4644 Prerequisites: A grade of B or better in MA-UY 2114 and (MA-UY 3044 or MA-UY 3054 or MA-UY 3034 or MA-UY 3113).,Gavin Scot Stewart,Fr 9:30AM - 10:45AM,Bldg:CIWW  Room:512 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,Washington Square,"Lecture Required, Recitation Required",Open
Section: A1RC-RCT (17477)  Session: Regular Academic Session Days/Times: Fr 9:30am - 10:45am Dates: 01/27/2020 - 05/11/2020 Instructor: Yunxiao Xiang Status: Closed This is a combined section class,MA-UY 4324 - A1RC,MATHEMATICS OF FINANCE,Regular Academic Session,17477,Undergraduate,0 units,Ugrd Tandon Graded,"Introduction to the mathematics of finance. Topics include: Linear programming with application pricing and quadratic. Interest rates and present value. Basic probability: random walks, central limit theorem, Brownian motion, lognormal model of stock prices. Black-Scholes theory of options. Dynamic programming with application to portfolio optimization. | Prerequisites: A grade of C+ or better in MA-UY 2114 and a grade of C+ or better in (MA-UY 2054 or MA-UY 2224 or MA-UY 2233 or MA-UY 2414 or MA-UY 3014 or MA-UY 3022 or MA-UY 3514 or MA-UY 4114).",None,MA-UY 4324 Prerequisites: A grade of C+ or better in MA-UY 2114 and a grade of C+ or better in (MA-UY 2054 or MA-UY 2224 or MA-UY 2233 or MA-UY 2414 or MA-UY 3014 or MA-UY 3022 or MA-UY 4114).,Yunxiao Xiang,Fr 9:30AM - 10:45AM,Bldg:CIWW  Room:102 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,Washington Square,"Lecture Required, Recitation Required",Open
Section: BLEC-LEC (17069)  Session: Regular Academic Session Days/Times: MoWe 3:00pm - 4:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Jose A Diaz-Alban Status: Closed,MA-UY 2314 - BLEC,Discrete Mathematics,Regular Academic Session,17069,Undergraduate,4 units,Ugrd Tandon Graded,"Logic, proofs, set theory, functions, relations, asymptotic notation, recurrences, modeling computation, graph theory. | Prerequisite: Math Diagnostic Exam or MA-UY 912 or MA-UY 914 (minimum calculus level required) | Prerequisite for Shanghai students: MATH-SHU 110. Note: This course and CS-GY 6003 cannot both be taken for credit. Co-requisite: EX-UY 2",None,MA-UY 2314 Prerequisite: Math Diagnostic Exam or MA-UY 912 or MA-UY 914 (minimum calculus level required) and Co-requisite: EX-UY 2 | Prerequisite for Shanghai students: MATH-SHU 110 and Co-requisite: EX-UY 2,Jose A Diaz-Alban,MoWe 3:00PM - 4:20PM,"Rogers Hall, Rm 315 Loc: Brooklyn Campus",01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,"Lecture Required, Recitation Required",Open
Section: F-LEC (17205)  Session: Regular Academic Session Days/Times: MoWe 6:00pm - 7:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Mariya Feklistova Status: Closed,MA-UY 2224 - F,Data Analysis,Regular Academic Session,17205,Undergraduate,4 units,Ugrd Tandon Graded,"An introductory course to probability and statistics. It affords the student some acquaintance with both probability and statistics in a single term. Topics in Probability include mathematical treatment of chance; combinatorics; binomial, Poisson, and Gaussian distributions; the Central Limit Theorem and the normal approximation. Topics in Statistics include sampling distributions of sample mean and sample variance; normal, t-, and Chi-square distributions; confidence intervals; testing of hypotheses; least squares regression model. Applications to scientific, industrial, and financial data are integrated into the course.NOTE: Not open to students who have taken MA-UY 2233 or MA-UY 3012 or MA-UY 3022. | Prerequisite: MA-UY 1124, MA-UY1424, or MA-UY 1132",None,"MA-UY 2224 Prerequisite: MA-UY 1124, MA-UY 1424, or MA-UY 1132, Anti-Requisites: MA-UY 2233, MA-UY 3022, MA-UY 2414, MA-UY 2054 or MA-UY 3014",Mariya Feklistova,MoWe 6:00PM - 7:50PM,"Rogers Hall, Rm 615 Loc: Brooklyn Campus",01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Closed
Section: CRC-RCT (17414)  Session: Regular Academic Session Days/Times: Fr 1:30pm - 2:45pm Dates: 01/27/2020 - 05/11/2020 Instructor: Gaston Martin Gonzalez Status: Open This is a combined section class,MA-UY 4424 - CRC,NUMERICAL ANALYSIS,Regular Academic Session,17414,Undergraduate,0 units,Ugrd Tandon Graded,"In numerical analysis one explores how mathematical problems can be analyzed and solved with a computer. As such, numerical analysis has very broad applications in mathematics, physics, engineering, finance, and the life sciences. This course gives an introduction to this subject for mathematics majors. Theory and practical examples using Matlab will be combined to study a range of topics ranging from simple root-finding procedures to differential equations and the finite element method. | Prerequisites: A grade of C or better in MA-UY 2114 and (MA-UY 3034 or MA-UY 3044 or MA-UY 3054 or MA-UY 3113)",None,Prerequisites: A grade of C or better in MA-UY 2114 and (MA-UY 3034 or MA-UY 3044 or MA-UY 3054 or MA-UY 3113),Gaston Martin Gonzalez,Fr 1:30PM - 2:45PM,"Rogers Hall, Rm 503 Loc: Brooklyn Campus",01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,"Lecture Required, Recitation Required",Open
Section: D-LEC (17002)  Session: Regular Academic Session Days/Times: MoWe 12:30pm - 2:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Mariya Feklistova Status: Open,MA-UY 2224 - D,Data Analysis,Regular Academic Session,17002,Undergraduate,4 units,Ugrd Tandon Graded,"An introductory course to probability and statistics. It affords the student some acquaintance with both probability and statistics in a single term. Topics in Probability include mathematical treatment of chance; combinatorics; binomial, Poisson, and Gaussian distributions; the Central Limit Theorem and the normal approximation. Topics in Statistics include sampling distributions of sample mean and sample variance; normal, t-, and Chi-square distributions; confidence intervals; testing of hypotheses; least squares regression model. Applications to scientific, industrial, and financial data are integrated into the course.NOTE: Not open to students who have taken MA-UY 2233 or MA-UY 3012 or MA-UY 3022. | Prerequisite: MA-UY 1124, MA-UY1424, or MA-UY 1132",None,"MA-UY 2224 Prerequisite: MA-UY 1124, MA-UY 1424, or MA-UY 1132, Anti-Requisites: MA-UY 2233, MA-UY 3022, MA-UY 2414, MA-UY 2054 or MA-UY 3014",Mariya Feklistova,MoWe 12:30PM - 2:20PM,"Jacobs Academic Bldg, Rm 473 Loc: Brooklyn Campus",01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: A-LEC (16865)  Session: Regular Academic Session Days/Times: TuTh 6:00pm - 8:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Tsz Chung Lo Status: Open,MA-UY 914 - A,Precalculus for Engineers,Regular Academic Session,16865,Undergraduate,4 units,Ugrd Tandon Graded,"This course covers: foundations of algebra, exponents, multiplication of algebraic

expressions, factoring algebraic expressions, working with algebraic fractions, proportionality, rates of change, equations of lines, completing squares, the quadratic formula, solving equations, systems of linear equations, inequalities, domain and range of functions, exponential and logarithmic functions, compositions of functions, transformations of functions, right triangles, trigonometry of triangles.| Prerequisite: placement exam. Note: credit for this course may not be used to satisfy the minimum credit requirement for graduation. Corequisite: EX-UY 1",None,Prerequisite: placement exam. Note: credit for this course may not be used to satisfy the minimum credit requirement for graduation. Corequisite: EX-UY 1,Tsz Chung Lo,TuTh 6:00PM - 8:50PM,Jacobs Academic Bldg Rm 775 Loc: Brooklyn Campus,01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: ARC-RCT (17221)  Session: Regular Academic Session Days/Times: Fr 2:00pm - 3:15pm Dates: 01/27/2020 - 05/11/2020 Instructor: Alexander John Payne Status: Open This is a combined section class,MA-UY 4634 - ARC,Vector Analysis,Regular Academic Session,17221,Undergraduate,0 units,Ugrd Tandon Graded,"Brief review of multivariate calculus: partial derivatives, chain rule, Riemann integral, change of variables, line integrals. Lagrange multipliers. Inverse and implicit function theorems and their applications. Introduction to calculus on manifolds: definition and examples of manifolds, tangent vectors and vector fields, differential forms, exterior derivative, line integrals and integration of forms. Gauss' and Stokes' theorems on manifolds.  | Prerequisites: C or better in MA-UY 4613",None,MA-UY 4634 Prerequisites: MA-UY 4613 (C or better),Alec Payne,Fr 2:00PM - 3:15PM,Bldg:CIWW  Room:312 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,Washington Square,"Lecture Required, Recitation Required",Open
Section: C-LEC (17413)  Session: Regular Academic Session Days/Times: TuTh 2:00pm - 3:15pm Dates: 01/27/2020 - 05/11/2020 Instructor: Michael O'Neil Status: Open This is a combined section class,MA-UY 4424 - C,NUMERICAL ANALYSIS,Regular Academic Session,17413,Undergraduate,4 units,Ugrd Tandon Graded,"In numerical analysis one explores how mathematical problems can be analyzed and solved with a computer. As such, numerical analysis has very broad applications in mathematics, physics, engineering, finance, and the life sciences. This course gives an introduction to this subject for mathematics majors. Theory and practical examples using Matlab will be combined to study a range of topics ranging from simple root-finding procedures to differential equations and the finite element method. | Prerequisites: A grade of C or better in MA-UY 2114 and (MA-UY 3034 or MA-UY 3044 or MA-UY 3054 or MA-UY 3113)",None,Prerequisites: A grade of C or better in MA-UY 2114 and (MA-UY 3034 or MA-UY 3044 or MA-UY 3054 or MA-UY 3113),Michael O'Neil,TuTh 2:00PM - 3:15PM,"Jacobs Academic Bldg, Rm 473 Loc: Brooklyn Campus",01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,"Lecture Required, Recitation Required",Open
Section: A-LEC (17335)  Session: Regular Academic Session Days/Times: MoWe 4:30pm - 5:45pm Dates: 01/27/2020 - 05/11/2020 Instructor: Jinghua Qian Status: Open,MA-UY 4114 - A,Applied Statistics,Regular Academic Session,17335,Undergraduate,4 units,Ugrd Tandon Graded,"An introduction to the mathematical foundations and techniques of modern statistical analysis for the interpretation of data in the quantitative sciences. Mathematical theory of sampling; normal populations and distributions; chi-square, t, and F distributions; hypothesis testing; estimation; confidence intervals; sequential analysis; correlation, regression; analysis of variance. Applications to the sciences. Use of Matlab for doing computations of the statistical measures listed above. | Prerequisite: MA-UY 3014 or MA-UY 2233 or MA-UY 3514",None,MA-UY 4114 Prerequisite: MA-UY 3014 or MA-UY 2233,Jinghua Qian,MoWe 4:30PM - 5:45PM,"1 MetroTechCtr, Rm 820 Loc: Brooklyn Campus",01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,"Lecture Required, Recitation Required",Open
Section: A-LEC (17222)  Session: Regular Academic Session Days/Times: MoWe 11:00am - 12:15pm Dates: 01/27/2020 - 05/11/2020 Instructor: Olivier Ml Pauluis Status: Open This is a combined section class,MA-UY 4474 - A,Chaos and Dynamical Systems,Regular Academic Session,17222,Undergraduate,4 units,Ugrd Tandon Graded,"Topics will include dynamics of maps and of first order and second-order differential equations, stability, bifurcations, limit cycles, dissection of systems with fast and slow time scales. Geometric viewpoint, including phase planes, will be stressed. Chaotic behavior will be introduced in the context of one-variable maps (the logistic), fractal sets, etc. Applications will be drawn from physics and biology. There will be homework and projects, and a few computer lab sessions (programming experience is not a prerequisite).  | Prerequisites: C or better in (MA-UY 1124, MA-UY 1424 or MA-UY 1132) and (MA-UY 3044, MA-UY 3054 or MA-UY 3113)",None,"MA-UY 4474 Prerequisites: C or better in (MA-UY 1124, MA-UY 1424, or MA-UY 1132) and (MA-UY 3044, MA-UY 3054 or MA-UY 3113)",Olivier Ml Pauluis,MoWe 11:00AM - 12:15PM,Bldg:CIWW  Room:201 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,Washington Square,"Lecture Required, Recitation Required",Open
Section: ARC-RCT (19914)  Session: Regular Academic Session Days/Times: Fr 3:30pm - 4:45pm Dates: 01/27/2020 - 05/11/2020 Instructor: Tristan Jean-Bernard Leger Status: Open This is a combined section class,MA-UY 4654 - ARC,HONORS ANALYSIS II,Regular Academic Session,19914,Undergraduate,0 units,Ugrd Tandon Graded,"This is a continuation of MATH-UA 328/MA-UY 4644 Honors Analysis I. Topics include: metric spaces, differentiation of functions of several real variables, the implicit and inverse function theorems, Riemann integral on Rn, Lebesgue measure on Rn, the Lebesgue integral. | Prerequisites: A grade of C or better in MA-UY 4644 or a grade of A in MA-UY 4614 in conjunction with permission by instructor",None,PLEASE NOTE THAT THIS SECTION MEETS AT THE WASHINGTON SQUARE CAMPUS.,Tristan Jean-Bernard Leger,Fr 3:30PM - 4:45PM,Bldg:CIWW  Room:517 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,Washington Square,"Lecture Required, Recitation Required",Open
Section: E-LEC (17315)  Session: Regular Academic Session Days/Times: TuTh 2:00pm - 3:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Joseph F Esposito Status: Closed,MA-UY 1124 - E,Calculus II for Engineers,Regular Academic Session,17315,Undergraduate,4 units,Ugrd Tandon Graded,"This course covers techniques of integration, introduction to ordinary differential equations, improper integrals, numerical methods of integration, applications of integration, sequences, series, power series, approximations of functions via Taylor polynomials, Taylor series, functions of two variables, graphs of functions of two variables, contour diagrams, linear functions, functions of three variables. MA-UY 1424 is for students who wish to take MA-UY 1124 but need more review of precalculus. MA-UY 1424 covers the same material as MA-UY 1124 but with more contact hours per week, incorporating a full discussion of the required precalculus topics. | Prerequisites: MA-UY 1022 (with a grade of B or better) or MA-UY 1024 or MA-UY 1324 (with a grade of B or better). | Corequisite: EX-UY 1.",None,MA-UY 1124 Prerequisite(s): MA-UY 1022 (with a grade of B or better) or MA-UY 1024 or MA-UY 1324 (with a grade of B or better). | Corequisites: EX-UY 1,Joseph Esposito,TuTh 2:00PM - 3:50PM,Jacobs Academic Bldg Rm 775B Loc: Brooklyn Campus,01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: ARC-RCT (20316)  Session: Regular Academic Session Days/Times: Fr 3:00pm - 4:15pm Dates: 01/27/2020 - 05/11/2020 Instructor: Ajeet S Gary Status: Open,MA-UY 4434 - ARC,Applied Complex Variables,Regular Academic Session,20316,Undergraduate,0 units,Ugrd Tandon Graded,"A first course in complex analysis, with a focus on applications. Topics to be covered include the complex plane, analytic functions, complex differentiation, the Cauchy-Riemann equations, branch cuts, contour integration, the residue theorem, conformal mapping, applications to potential theory and fluid flow.  Note: Not open to students who have taken MA-UY 3113. | MA-UY 2114 and (MA-UY 2034 or MA-UY 3034 or MA-UY 3044 or MA-UY 3054)",None,MA-UY 4434 prerequisites: MA-UY 2114 and (MA-UY 2034 or MA-UY 3034 or MA-UY 3044 or MA-UY 3054),Ajeet Gary,Fr 3:00PM - 4:15PM,"2 MetroTechCtr, Rm 820 Loc: Brooklyn Campus",01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,"Lecture Required, Recitation Required",Open
Section: C-LEC (16879)  Session: Regular Academic Session Days/Times: MoWe 12:30pm - 2:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Fang Zhao Status: Closed,MA-UY 1124 - C,Calculus II for Engineers,Regular Academic Session,16879,Undergraduate,4 units,Ugrd Tandon Graded,"This course covers techniques of integration, introduction to ordinary differential equations, improper integrals, numerical methods of integration, applications of integration, sequences, series, power series, approximations of functions via Taylor polynomials, Taylor series, functions of two variables, graphs of functions of two variables, contour diagrams, linear functions, functions of three variables. MA-UY 1424 is for students who wish to take MA-UY 1124 but need more review of precalculus. MA-UY 1424 covers the same material as MA-UY 1124 but with more contact hours per week, incorporating a full discussion of the required precalculus topics. | Prerequisites: MA-UY 1022 (with a grade of B or better) or MA-UY 1024 or MA-UY 1324 (with a grade of B or better). | Corequisite: EX-UY 1.",None,MA-UY 1124 Prerequisite(s): MA-UY 1022 (with a grade of B or better) or MA-UY 1024 or MA-UY 1324 (with a grade of B or better). | Corequisites: EX-UY 1,Fang Zhao,MoWe 12:30PM - 2:20PM,"Rogers Hall, Rm 202 Loc: Brooklyn Campus",01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: ARC-RCT (23588)  Session: Regular Academic Session Days/Times: Fr 12:30pm - 1:45pm Dates: 01/27/2020 - 05/11/2020 Instructor: David Padilla Garza Status: Open This is a combined section class,MA-UY 3514 - ARC,Honors Probability,Regular Academic Session,23588,Undergraduate,0 units,Ugrd Tandon Graded,"The aim of this class is to introduce students to probability theory, with a greater emphasis on rigor, more material, and a faster pace than the Theory of Probability/Applied Probability class. The material will include discrete and continuous probability, and the most fundamental limit theorems (law of large numbers and Central Limit Theorem). Students will be made familiar with the classical models, computations on densities, and convergence to universal distributions. They will also be expected to understand the proofs of all the results seen in class, and be able to argue with mathematical rigor.  Note: While B+ or higher is the standard requirement for this course, the department will consider petitions sent to soe.math@nyu.edu if you are on the borderline of that requirement. Not open to students who have taken MA-UY 3014. | Prerequisites: MA-UY 2114 with a grade of B+ or better, and (MA-UY 2034 or MA-UY 3034 or MA-UY 3044 or MA-UY 3054) with a grade of B+ or better, and MA-UY 2314 with a grade of B+ or better. Anti-Requisites: MA-UY 3014",None,,Fr 12:30PM - 1:45PM,01/27/2020 - 05/11/2020,Bldg:CIWW  Room:312 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,"Lecture Required, Recitation Required","Lecture Required, Recitation Required",Open
Section: A-LEC (17220)  Session: Regular Academic Session Days/Times: MoWe 2:00pm - 3:15pm Dates: 01/27/2020 - 05/11/2020 Instructor: Chenlin Gu Status: Open This is a combined section class,MA-UY 4634 - A,Vector Analysis,Regular Academic Session,17220,Undergraduate,4 units,Ugrd Tandon Graded,"Brief review of multivariate calculus: partial derivatives, chain rule, Riemann integral, change of variables, line integrals. Lagrange multipliers. Inverse and implicit function theorems and their applications. Introduction to calculus on manifolds: definition and examples of manifolds, tangent vectors and vector fields, differential forms, exterior derivative, line integrals and integration of forms. Gauss' and Stokes' theorems on manifolds.  | Prerequisites: C or better in MA-UY 4613",None,MA-UY 4634 Prerequisites: MA-UY 4613 (C or better),Chenlin Gu,MoWe 2:00PM - 3:15PM,Bldg:CIWW  Room:201 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,Washington Square,"Lecture Required, Recitation Required",Open
Section: A-LEC (16664)  Session: Regular Academic Session Days/Times: MoWe 10:30am - 12:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Fang Zhao Status: Open,MA-UY 2054 - A,Applied Business Data Analysis I,Regular Academic Session,16664,Undergraduate,4 units,Ugrd Tandon Graded,"This course covers applications of theories of random phenomena to problems in business management. Topics include probability theory, discrete and continuous probability distributions, sampling, measures of central value and dispersion, sampling distributions, statistical estimation and introduction to hypothesis testing. Use of statistical software is integrated with the previous topics; examples are drawn from problems in business decision-making. Applications to advanced statistical applications in business management. Emphasis is on application of concepts. Use of statistical software integrated with the previous topics.  | Prerequisite: MA-UY 1054 or equivalent. Note: Course required only for Management Majors. Credit for this course may not be used to satisfy the requirements for other majors.",None,"Prerequisite: MA 1054 or equivalent. Anti-Requisites: MA-UY 2224, MA-UY 2233, MA-UY 3022, MA-UY 2414 or MA-UY 3014.  Note: Course required only for Management Majors. Credit for this course may not be used to satisfy the requirements for other majors.",Fang Zhao,MoWe 10:30AM - 12:20PM,Jacobs Academic Bldg Rm 775 Loc: Brooklyn Campus,01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
